Date,CPU Utilization,Total Power,CPU Power,GPU Power
2022-11-03 22:05:37,0.00000,16.54199,16.54199,0.00000
2022-11-03 22:05:38,0.03125,17.27246,17.27246,0.00000
2022-11-03 22:05:39,0.00000,16.49121,16.49121,0.00000
2022-11-03 22:05:40,0.00000,16.49414,16.49414,0.00000
2022-11-03 22:05:41,0.12109,18.38086,18.38086,0.00000
2022-11-03 22:05:42,0.50391,30.78711,30.78711,0.00000
2022-11-03 22:05:43,1.04688,30.58594,30.58594,0.00000
2022-11-03 22:05:44,0.50195,30.29883,30.29883,0.00000
2022-11-03 22:05:45,0.80078,27.33789,27.33789,0.00000
2022-11-03 22:05:46,0.43359,31.01953,31.01953,0.00000
2022-11-03 22:05:47,0.49219,24.85840,24.85840,0.00000
2022-11-03 22:05:48,0.01563,17.59863,17.59863,0.00000
2022-11-03 22:05:49,0.96484,30.05273,30.05273,0.00000
2022-11-03 22:05:50,0.52930,30.84082,30.84082,0.00000
2022-11-03 22:05:51,1.14063,31.09180,31.09180,0.00000
2022-11-03 22:05:52,0.40234,27.02148,27.02148,0.00000
2022-11-03 22:05:53,0.14453,18.35547,18.35547,0.00000
2022-11-03 22:05:54,0.34961,28.92871,28.92871,0.00000
2022-11-03 22:05:55,0.19922,21.14258,21.14258,0.00000
2022-11-03 22:05:56,0.10352,20.58105,20.58105,0.00000
2022-11-03 22:05:57,0.08984,17.45703,17.45703,0.00000
